model_name,prompt_language,gold_intent,predicted_intent,count
gpt-4.1-nano,english,call_request,call_request,16
gpt-4.1-nano,english,information_query,information_query,12
gpt-4.1-nano,english,media_control,media_control,18
gpt-4.1-nano,english,meeting_schedule,media_control,1
gpt-4.1-nano,english,meeting_schedule,meeting_schedule,12
gpt-4.1-nano,english,meeting_schedule,reminder_create,2
gpt-4.1-nano,english,meeting_schedule,reminder_update,3
gpt-4.1-nano,english,message_send,message_send,22
gpt-4.1-nano,english,navigation_request,navigation_request,15
gpt-4.1-nano,english,navigation_request,purchase_request,2
gpt-4.1-nano,english,navigation_request,task_create,1
gpt-4.1-nano,english,note_create,note_create,12
gpt-4.1-nano,english,note_create,reminder_create,1
gpt-4.1-nano,english,other,information_query,2
gpt-4.1-nano,english,purchase_request,message_send,1
gpt-4.1-nano,english,purchase_request,purchase_request,11
gpt-4.1-nano,english,reminder_cancel,reminder_cancel,10
gpt-4.1-nano,english,reminder_create,purchase_request,1
gpt-4.1-nano,english,reminder_create,reminder_create,14
gpt-4.1-nano,english,reminder_update,reminder_create,2
gpt-4.1-nano,english,reminder_update,reminder_update,6
gpt-4.1-nano,english,task_create,task_create,16
gpt-4.1-nano,hinglish,call_request,call_request,16
gpt-4.1-nano,hinglish,information_query,information_query,12
gpt-4.1-nano,hinglish,media_control,media_control,18
gpt-4.1-nano,hinglish,meeting_schedule,meeting_schedule,10
gpt-4.1-nano,hinglish,meeting_schedule,reminder_create,3
gpt-4.1-nano,hinglish,meeting_schedule,reminder_update,5
gpt-4.1-nano,hinglish,message_send,message_send,22
gpt-4.1-nano,hinglish,navigation_request,navigation_request,15
gpt-4.1-nano,hinglish,navigation_request,purchase_request,2
gpt-4.1-nano,hinglish,navigation_request,task_create,1
gpt-4.1-nano,hinglish,note_create,note_create,13
gpt-4.1-nano,hinglish,other,information_query,2
gpt-4.1-nano,hinglish,purchase_request,other,1
gpt-4.1-nano,hinglish,purchase_request,purchase_request,11
gpt-4.1-nano,hinglish,reminder_cancel,reminder_cancel,10
gpt-4.1-nano,hinglish,reminder_create,information_query,1
gpt-4.1-nano,hinglish,reminder_create,reminder_create,14
gpt-4.1-nano,hinglish,reminder_update,reminder_create,4
gpt-4.1-nano,hinglish,reminder_update,reminder_update,4
gpt-4.1-nano,hinglish,task_create,task_create,16
sarvam-30b,english,call_request,,1
sarvam-30b,english,call_request,call_request,11
sarvam-30b,english,call_request,message_send,1
sarvam-30b,english,call_request,other,3
sarvam-30b,english,information_query,,2
sarvam-30b,english,information_query,information_query,8
sarvam-30b,english,information_query,other,2
sarvam-30b,english,media_control,,1
sarvam-30b,english,media_control,media_control,11
sarvam-30b,english,media_control,other,6
sarvam-30b,english,meeting_schedule,,5
sarvam-30b,english,meeting_schedule,meeting_schedule,8
sarvam-30b,english,meeting_schedule,reminder_create,1
sarvam-30b,english,meeting_schedule,reminder_update,3
sarvam-30b,english,meeting_schedule,task_create,1
sarvam-30b,english,message_send,,5
sarvam-30b,english,message_send,message_send,13
sarvam-30b,english,message_send,other,4
sarvam-30b,english,navigation_request,,6
sarvam-30b,english,navigation_request,navigation_request,11
sarvam-30b,english,navigation_request,reminder_create,1
sarvam-30b,english,note_create,,4
sarvam-30b,english,note_create,note_create,7
sarvam-30b,english,note_create,other,1
sarvam-30b,english,note_create,reminder_create,1
sarvam-30b,english,other,information_query,1
sarvam-30b,english,other,other,1
sarvam-30b,english,purchase_request,,2
sarvam-30b,english,purchase_request,other,6
sarvam-30b,english,purchase_request,purchase_request,3
sarvam-30b,english,purchase_request,reminder_create,1
sarvam-30b,english,reminder_cancel,,2
sarvam-30b,english,reminder_cancel,reminder_cancel,8
sarvam-30b,english,reminder_create,,3
sarvam-30b,english,reminder_create,information_query,1
sarvam-30b,english,reminder_create,other,1
sarvam-30b,english,reminder_create,reminder_create,10
sarvam-30b,english,reminder_update,,1
sarvam-30b,english,reminder_update,reminder_create,5
sarvam-30b,english,reminder_update,reminder_update,2
sarvam-30b,english,task_create,,1
sarvam-30b,english,task_create,task_create,15
sarvam-30b,hinglish,call_request,,3
sarvam-30b,hinglish,call_request,call_request,9
sarvam-30b,hinglish,call_request,other,2
sarvam-30b,hinglish,call_request,reminder_cancel,1
sarvam-30b,hinglish,call_request,reminder_create,1
sarvam-30b,hinglish,information_query,information_query,10
sarvam-30b,hinglish,information_query,other,2
sarvam-30b,hinglish,media_control,media_control,14
sarvam-30b,hinglish,media_control,other,4
sarvam-30b,hinglish,meeting_schedule,,5
sarvam-30b,hinglish,meeting_schedule,meeting_schedule,8
sarvam-30b,hinglish,meeting_schedule,other,1
sarvam-30b,hinglish,meeting_schedule,reminder_update,2
sarvam-30b,hinglish,meeting_schedule,task_create,2
sarvam-30b,hinglish,message_send,,2
sarvam-30b,hinglish,message_send,message_send,14
sarvam-30b,hinglish,message_send,other,6
sarvam-30b,hinglish,navigation_request,,5
sarvam-30b,hinglish,navigation_request,information_query,1
sarvam-30b,hinglish,navigation_request,navigation_request,9
sarvam-30b,hinglish,navigation_request,other,2
sarvam-30b,hinglish,navigation_request,reminder_create,1
sarvam-30b,hinglish,note_create,,6
sarvam-30b,hinglish,note_create,note_create,7
sarvam-30b,hinglish,other,other,2
sarvam-30b,hinglish,purchase_request,,3
sarvam-30b,hinglish,purchase_request,information_query,1
sarvam-30b,hinglish,purchase_request,other,3
sarvam-30b,hinglish,purchase_request,purchase_request,4
sarvam-30b,hinglish,purchase_request,reminder_create,1
sarvam-30b,hinglish,reminder_cancel,,2
sarvam-30b,hinglish,reminder_cancel,reminder_cancel,8
sarvam-30b,hinglish,reminder_create,,5
sarvam-30b,hinglish,reminder_create,information_query,1
sarvam-30b,hinglish,reminder_create,other,1
sarvam-30b,hinglish,reminder_create,reminder_create,8
sarvam-30b,hinglish,reminder_update,,1
sarvam-30b,hinglish,reminder_update,reminder_create,5
sarvam-30b,hinglish,reminder_update,reminder_update,2
sarvam-30b,hinglish,task_create,,2
sarvam-30b,hinglish,task_create,task_create,14
