"sample_id","raw_input_text","gold_intent","gold_entities","slice_tags","model_name","prompt_language","raw_response","parsed_prediction","parse_success","schema_failure","predicted_intent","predicted_entities","evaluator_result","suspected_issue","reviewer_notes","severity","gold_label_concern"
"raw_012","Monday ko 11 baje Rahul ko call set kar","call_request","datetime:Monday ko 11 baje; contact:Rahul","temporal_reference; prompt_language_hinglish","sarvam-30b","hinglish","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold looks clean and defensible.","blocker",""
"raw_012","Monday ko 11 baje Rahul ko call set kar","call_request","datetime:Monday ko 11 baje; contact:Rahul","temporal_reference; prompt_language_hinglish","sarvam-30b","english","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold looks clean and defensible.","blocker",""
"raw_012","Monday ko 11 baje Rahul ko call set kar","call_request","datetime:Monday ko 11 baje; contact:Rahul","temporal_reference; prompt_language_hinglish","gpt-4o-mini","hinglish","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold looks clean and defensible.","blocker",""
"raw_012","Monday ko 11 baje Rahul ko call set kar","call_request","datetime:Monday ko 11 baje; contact:Rahul","temporal_reference; prompt_language_hinglish","gpt-4o-mini","english","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold looks clean and defensible.","blocker",""
"raw_018","aaj ka weather Gurgaon ka check karo","information_query","place:Gurgaon; date:aaj","temporal_reference; prompt_language_hinglish","sarvam-30b","hinglish","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold looks clean and defensible.","blocker",""
"raw_018","aaj ka weather Gurgaon ka check karo","information_query","place:Gurgaon; date:aaj","temporal_reference; prompt_language_hinglish","sarvam-30b","english","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold looks clean and defensible.","blocker",""
"raw_018","aaj ka weather Gurgaon ka check karo","information_query","place:Gurgaon; date:aaj","temporal_reference; prompt_language_hinglish","gpt-4o-mini","hinglish","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold looks clean and defensible.","blocker",""
"raw_018","aaj ka weather Gurgaon ka check karo","information_query","place:Gurgaon; date:aaj","temporal_reference; prompt_language_hinglish","gpt-4o-mini","english","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold looks clean and defensible.","blocker",""
"raw_038","aaj ki notes me likh 'wifi fir gya'","note_create","date:aaj; task_object:wifi fir gya","transliteration_noise; prompt_language_hinglish","sarvam-30b","hinglish","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold looks acceptable; transliteration noise is useful.","blocker",""
"raw_038","aaj ki notes me likh 'wifi fir gya'","note_create","date:aaj; task_object:wifi fir gya","transliteration_noise; prompt_language_hinglish","sarvam-30b","english","[MISSING_RUN_ARTIFACT]","[MISSING_RUN_ARTIFACT]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","[NOT_AVAILABLE]","missing prediction artifact; manual output review blocked","No smoke prediction/evaluation artifacts exist for this model/prompt pair. Gold looks acceptable; transliteration noise is useful.","blocker",""
